variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct,baseline_mean_mape_pct,mape_improvement_pct_point
drop_one__target_month_spring_festival_core_days,valid,jan_feb,38,2,5.726463836826375,6.443538969616459,5.579106495134633,-0.14735734169174197
drop_one__target_month_spring_festival_core_days,valid,spring_festival_month,38,2,5.726463836826375,6.443538969616459,5.579106495134633,-0.14735734169174197
drop_one__target_month_spring_festival_core_days,valid,high_nonworkday_month,56,3,5.663078786221699,6.434988289549526,6.911400540892886,1.2483217546711867
drop_one__target_month_spring_festival_core_days,valid,wd1_5,60,12,7.704133029866337,6.300244694912514,8.084677485972055,0.3805444561057181
drop_one__target_month_spring_festival_core_days,valid,wd1_10,120,12,7.729604371718771,6.594878660454231,7.980121732260401,0.25051736054163065
drop_one__target_month_spring_festival_core_days,valid,jan_feb_wd1_10,20,2,7.791483153422344,6.683161626225927,7.077448985808353,-0.714034167613991
drop_one__target_month_spring_festival_core_days,valid,spring_wd1_10,20,2,7.791483153422344,6.683161626225927,7.077448985808353,-0.714034167613991
drop_one__target_month_spring_festival_core_days,test,overall,80,4,13.102896691853164,11.545715018177741,14.940562347198343,1.8376656553451785
drop_one__target_month_spring_festival_core_days,test,jan_feb,37,2,12.234920636248901,11.704898517442842,13.47682153288237,1.241900896633469
drop_one__target_month_spring_festival_core_days,test,spring_festival_month,16,1,9.168533968617098,8.831197126932544,10.714613015252883,1.5460790466357857
drop_one__target_month_spring_festival_core_days,test,high_nonworkday_month,16,1,9.168533968617098,8.831197126932544,10.714613015252883,1.5460790466357857
drop_one__target_month_spring_festival_core_days,test,wd1_5,20,4,13.004862933931218,12.159791027883749,15.361996498625825,2.3571335646946068
drop_one__target_month_spring_festival_core_days,test,wd1_10,40,4,13.230798238840901,12.159791027883749,15.357152044390187,2.126353805549286
drop_one__target_month_spring_festival_core_days,test,jan_feb_wd1_10,20,2,12.156043793978421,12.159791027883749,13.710941647755709,1.5548978537772875
drop_one__target_month_spring_festival_core_days,test,spring_wd1_10,10,1,8.626478433538267,8.60339914572291,10.53208971624915,1.9056112827108826
